title,platform,metascore,userscore,genre,date
Taiko no Tatsujin Pop Tap Beat,iOS (Apple Arcade),76.0,70.8,action,2021-04-02
Totally Reliable Delivery Service,PC,64.0,70.8,action,2021-04-01
Outriders,PlayStation 4,72.0,70.8,action,2021-04-01
Outriders,PC,73.0,57.0,action,2021-04-01
Outriders,PlayStation 5,74.0,58.0,action,2021-04-01
Outriders,Xbox Series X,73.0,71.0,action,2021-04-01
UnderMine,PlayStation 4,78.0,70.8,action,2021-03-30
DOOM 3: VR Edition,PlayStation 4,67.0,72.0,action,2021-03-29
Kaze and the Wild Masks,PC,82.0,70.8,action,2021-03-26
Kaze and the Wild Masks,Switch,79.0,70.8,action,2021-03-26
Kaze and the Wild Masks,PlayStation 4,77.0,73.0,action,2021-03-26
Kaze and the Wild Masks,Xbox One,83.0,70.8,action,2021-03-26
Balan Wonderworld,Xbox Series X,72.3,72.0,action,2021-03-26
Balan Wonderworld,PlayStation 5,51.0,55.0,action,2021-03-26
Balan Wonderworld,PC,72.3,67.0,action,2021-03-26
Balan Wonderworld,Switch,72.3,70.8,action,2021-03-26
Balan Wonderworld,PlayStation 4,72.3,64.0,action,2021-03-26
Crash Bandicoot 4: It's About Time,PC,83.0,70.8,action,2021-03-26
Bladed Fury,Xbox One,72.0,70.8,action,2021-03-25
Bladed Fury,Switch,69.0,70.8,action,2021-03-25
Crash Bandicoot: On the Run!,iOS,59.0,52.0,action,2021-03-25
Get-A-Grip Chip,Switch,78.0,70.8,action,2021-03-25
Barrage Fantasia,Switch,66.0,70.8,action,2021-03-25
Plants vs. Zombies: Battle for Neighborville - Complete Edition,Switch,74.0,73.0,action,2021-03-19
Magic Twins,Switch,74.0,70.8,action,2021-03-18
Marvel's Avengers,PlayStation 5,73.0,69.0,action,2021-03-18
DOOM Eternal: The Ancient Gods Part Two,Xbox One,77.0,70.8,action,2021-03-18
DOOM Eternal: The Ancient Gods Part Two,PC,77.0,62.0,action,2021-03-18
DOOM Eternal: The Ancient Gods Part Two,PlayStation 4,78.0,60.0,action,2021-03-18
Samurai Shodown: Special Edition,Xbox Series X,78.0,70.8,action,2021-03-16
COLLAPSED,PlayStation 4,60.0,70.8,action,2021-03-13
Crash Bandicoot 4: It's About Time,Xbox Series X,86.0,70.0,action,2021-03-12
Crash Bandicoot 4: It's About Time,Switch,80.0,70.8,action,2021-03-12
Crash Bandicoot 4: It's About Time,PlayStation 5,86.0,70.8,action,2021-03-12
Apex Legends,Switch,54.0,51.0,action,2021-03-09
POSTAL Redux,PlayStation 4,58.0,70.8,action,2021-03-05
Mail Mole,Switch,72.0,64.0,action,2021-03-04
