title,platform,metascore,userscore,genre,date
Thomas Was Alone,iOS,88.0,64.0,action,2014-05-15
BIOSIS,iOS,75.0,70.8,action,2014-05-15
JoyJoy,iOS,78.0,70.8,action,2014-05-15
Heavy Bullets,PC,72.0,70.8,action,2014-05-15
Titanfall: Expedition,Xbox One,73.0,70.8,action,2014-05-15
Table Tennis Touch,iOS,92.0,58.0,action,2014-05-15
The Walking Dead: Season Two Episode 3 - In Harm's Way,Xbox 360,82.0,70.8,action,2014-05-14
Super Time Force,Xbox One,80.0,65.0,action,2014-05-14
Super Time Force,Xbox 360,81.0,58.0,action,2014-05-14
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,81.0,70.8,action,2014-05-13
The Walking Dead: Season Two Episode 3 - In Harm's Way,PlayStation 3,80.0,70.8,action,2014-05-13
Dynasty Warriors 8: Xtreme Legends Complete Edition,PC,71.0,72.0,action,2014-05-13
The Last Tinker: City of Colors,PC,72.0,65.0,action,2014-05-12
Chronology,PC,64.0,68.0,action,2014-05-12
KeroBlaster,iOS,86.0,53.0,action,2014-05-11
Kero Blaster,PC,82.0,71.0,action,2014-05-11
Nutjitsu,Xbox One,50.0,70.8,action,2014-05-08
Last Inua,iOS,66.0,61.0,action,2014-05-08
"Warhammer 40,000: Carnage",iOS,75.0,64.0,action,2014-05-08
2-bit Cowboy,iOS,74.0,70.8,action,2014-05-08
Aliens Drive Me Crazy,iOS,80.0,62.0,action,2014-05-08
dEXTRIS,iOS,78.0,70.8,action,2014-05-08
Kiwanuka,iOS,80.0,58.0,action,2014-05-08
SOULCALIBUR Unbreakable Soul,iOS,72.3,70.8,action,2014-05-08
The Impossible Game,PC,64.0,72.0,action,2014-05-08
CastleStorm: Free to Siege,iOS,85.0,70.8,action,2014-05-07
Record Run,iOS,54.0,70.8,action,2014-05-07
Borderlands 2,PlayStation Vita,64.0,70.8,action,2014-05-06
Titan Attacks!,PlayStation 4,74.0,62.0,action,2014-05-06
Stick it to the Man!,PlayStation 4,75.0,68.0,action,2014-05-06
Flockers,PC,66.0,53.0,action,2014-05-06
Kirby: Triple Deluxe,3DS,80.0,70.8,action,2014-05-02
"Sir, You Are Being Hunted",PC,63.0,65.0,action,2014-05-02
Republique: Episode 2 - Metamorphosis,iOS,79.0,69.0,action,2014-05-02
Jet Car Stunts,PC,57.0,74.0,action,2014-05-01
Abyss,Wii U,59.0,53.0,action,2014-05-01
Stick it to the Man!,Wii U,81.0,70.8,action,2014-05-01
Bridge Constructor Medieval,iOS,74.0,70.8,action,2014-05-01
Intake : Be Aggressive,iOS,76.0,70.8,action,2014-05-01
"Jungle Rumble: Freedom, Happiness and Bananas",iOS,76.0,70.8,action,2014-05-01
Gear Jack Black Hole,iOS,65.0,70.8,action,2014-05-01
Metal Slug Defense,iOS,69.0,58.0,action,2014-05-01
Superfrog HD,iOS,62.0,70.8,action,2014-05-01
Plax,iOS,71.0,70.8,action,2014-05-01
Child of Light,Xbox One,82.0,70.8,action,2014-04-30
Child of Light,Xbox 360,74.0,74.0,action,2014-04-30
Croixleur Sigma,PC,56.0,64.0,action,2014-04-30
JoJo's Bizarre Adventure All-Star Battle,PlayStation 3,71.0,70.8,action,2014-04-29
Child of Light,PC,77.0,70.8,action,2014-04-29
Child of Light,PlayStation 4,82.0,70.8,action,2014-04-29
Child of Light,Wii U,84.0,70.8,action,2014-04-29
Child of Light,PlayStation 3,89.0,70.8,action,2014-04-29
The Amazing Spider-Man 2,PlayStation 4,72.3,52.0,action,2014-04-29
The Amazing Spider-Man 2,Xbox One,72.3,70.8,action,2014-04-29
The Amazing Spider-Man 2,PlayStation 3,57.0,70.8,action,2014-04-29
The Amazing Spider-Man 2,Xbox 360,55.0,62.0,action,2014-04-29
The Amazing Spider-Man 2,Wii U,58.0,61.0,action,2014-04-29
Rambo: The Video Game,PlayStation 3,72.3,70.8,action,2014-04-29
The Amazing Spider-Man 2,PC,57.0,55.0,action,2014-04-29
Star Wars Pinball: Heroes Within,PlayStation 4,80.0,52.0,action,2014-04-29
Battlefield 4: Naval Strike,Xbox One,61.0,63.0,action,2014-04-25
Third Eye Crime: Act 1,iOS,76.0,70.8,action,2014-04-24
Kind of Soccer,iOS,69.0,70.8,action,2014-04-24
Leo's Fortune,iOS,84.0,70.8,action,2014-04-23
Tiny Dice Dungeon,iOS,78.0,70.8,action,2014-04-23
Starlight Inception,PlayStation Vita,50.0,70.8,action,2014-04-22
SoulCalibur: Lost Swords,PlayStation 3,72.3,70.8,action,2014-04-22
Bit Boy!! Arcade,3DS,53.0,70.8,action,2014-04-17
Life Goes On,PC,73.0,72.0,action,2014-04-17
Smash Cat Heroes,3DS,65.0,70.8,action,2014-04-17
Unpossible,iOS,79.0,70.8,action,2014-04-17
iOOTP Baseball 2014 Edition,iOS,81.0,70.8,action,2014-04-17
Yomi,iOS,83.0,70.8,action,2014-04-17
The Amazing Spider-Man 2,iOS,58.0,60.0,action,2014-04-17
FarmVille 2: Country Escape,iOS,64.0,55.0,action,2014-04-16
Dead Nation,PlayStation Vita,68.0,70.8,action,2014-04-15
Ethan: Meteor Hunter,PlayStation Vita,54.0,62.0,action,2014-04-15
Battlefield 4: Naval Strike,PC,74.0,54.0,action,2014-04-15
Dead Effect,PC,59.0,60.0,action,2014-04-15
SideSwype,iOS,73.0,70.8,action,2014-04-10
Instantion,iOS,76.0,70.8,action,2014-04-10
Wind-up Knight 2,iOS,79.0,70.8,action,2014-04-09
Titanfall,Xbox 360,83.0,61.0,action,2014-04-08
Strike Suit Zero: Director's Cut,PlayStation 4,68.0,65.0,action,2014-04-08
Strike Suit Zero: Director's Cut,Xbox One,67.0,56.0,action,2014-04-08
King Oddball,PlayStation 4,64.0,70.8,action,2014-04-08
Broforce,PC,83.0,70.8,action,2014-04-07
David.,iOS,80.0,65.0,action,2014-04-07
Rusty's Real Deal Baseball,3DS,74.0,70.8,action,2014-04-03
Monument Valley,iOS,89.0,70.8,action,2014-04-03
Call of Duty: Ghosts - Devastation,Xbox One,70.0,58.0,action,2014-04-03
Joe Dever's Lone Wolf - Act 2: Forest Hunt,iOS,87.0,70.8,action,2014-04-03
15 Coins,iOS,73.0,70.8,action,2014-04-03
Fairway Solitaire Blast,iOS,68.0,70.8,action,2014-04-02
Mercenary Kings,PlayStation 4,70.0,58.0,action,2014-04-01
Evolution: Battle for Utopia,iOS,73.0,60.0,action,2014-04-01
Platformines,PC,67.0,70.0,action,2014-03-28
Captain America: The Winter Soldier - The Official Game,iOS,54.0,70.8,action,2014-03-27
Skater Cat,3DS,51.0,70.8,action,2014-03-27
Sometimes You Die,iOS,82.0,70.8,action,2014-03-27
Shattered Planet (RPG),iOS,77.0,70.8,action,2014-03-27
Spate,PC,61.0,68.0,action,2014-03-27
Star Wars: Assault Team,iOS,69.0,70.8,action,2014-03-27
Word Monsters,iOS,69.0,70.8,action,2014-03-27
Tiny Space Adventure,iOS,78.0,70.8,action,2014-03-27
BioShock Infinite: Burial at Sea - Episode Two,PlayStation 3,83.0,70.8,action,2014-03-26
Warface,Xbox 360,60.0,55.0,action,2014-03-26
Boom Beach,iOS,69.0,60.0,action,2014-03-26
Game of Thrones Ascent,iOS,67.0,53.0,action,2014-03-26
Destiny of Spirits,PlayStation Vita,66.0,70.0,action,2014-03-25
BlazBlue: Chrono Phantasma,PlayStation 3,83.0,70.8,action,2014-03-25
BioShock Infinite: Burial at Sea - Episode Two,Xbox 360,84.0,70.8,action,2014-03-25
BioShock Infinite: Burial at Sea - Episode Two,PC,80.0,70.8,action,2014-03-25
Fez,PlayStation Vita,91.0,66.0,action,2014-03-25
Fez,PlayStation 4,90.0,64.0,action,2014-03-25
Dynasty Warriors 8: Xtreme Legends,PlayStation 3,68.0,70.0,action,2014-03-25
Dynasty Warriors 8: Xtreme Legends Complete Edition,PlayStation Vita,65.0,73.0,action,2014-03-25
Dynasty Warriors 8: Xtreme Legends Complete Edition,PlayStation 4,69.0,71.0,action,2014-03-25
Escape Goat 2,PC,76.0,70.8,action,2014-03-24
Yumi's Odd Odyssey,3DS,74.0,70.8,action,2014-03-20
Cloudbuilt,PC,72.0,70.8,action,2014-03-20
Roll Back Home,iOS,68.0,70.8,action,2014-03-20
Star Horizon,iOS,74.0,70.8,action,2014-03-20
Defenders,iOS,76.0,70.8,action,2014-03-20
The Collectables,iOS,69.0,70.8,action,2014-03-19
Luftrausers,PC,80.0,70.0,action,2014-03-18
Luftrausers,PlayStation 3,80.0,73.0,action,2014-03-18
Luftrausers,PlayStation Vita,83.0,74.0,action,2014-03-18
SteamWorld Dig,PlayStation 4,82.0,73.0,action,2014-03-18
Dead Rising 3: The Last Agent,Xbox One,51.0,70.8,action,2014-03-18
Deus Ex: The Fall,PC,72.3,70.8,action,2014-03-17
Yoshi's New Island,3DS,64.0,62.0,action,2014-03-14
Cube Tactics,3DS,62.0,70.8,action,2014-03-13
Dudeski,iOS,79.0,70.8,action,2014-03-13
Glorkian Warrior: Trials Of Glork,iOS,77.0,70.8,action,2014-03-13
Constant C,Xbox 360,67.0,70.8,action,2014-03-12
Surgeon Simulator,iOS,67.0,66.0,action,2014-03-12
First Strike Game,iOS,79.0,70.8,action,2014-03-12
Monster Legacy,iOS,65.0,70.8,action,2014-03-12
Titanfall,Xbox One,86.0,67.0,action,2014-03-11
Windforge,PC,53.0,69.0,action,2014-03-11
Titanfall,PC,86.0,63.0,action,2014-03-11
Putty Squad,PlayStation 4,72.3,70.8,action,2014-03-11
TowerFall Ascension,PC,87.0,69.0,action,2014-03-11
TowerFall Ascension,PlayStation 4,87.0,70.0,action,2014-03-11
Block Legend,iOS,72.0,70.8,action,2014-03-07
Block Fortress: War,iOS,70.0,70.8,action,2014-03-06
Devious Dungeon,iOS,79.0,70.8,action,2014-03-06
Faif,iOS,60.0,70.8,action,2014-03-06
Knock-Knock Game,iOS,63.0,70.8,action,2014-03-06
Mines of Mars,iOS,80.0,70.8,action,2014-03-06
Tanuki Forest,iOS,72.0,70.8,action,2014-03-06
Smash Hit,iOS,80.0,69.0,action,2014-03-06
Doggins,iOS,70.0,70.8,action,2014-03-06
The Walking Dead: Season Two Episode 2 - A House Divided,Xbox 360,80.0,70.8,action,2014-03-05
10 Second Ninja,PC,72.0,71.0,action,2014-03-05
Wave Wave,iOS,82.0,70.8,action,2014-03-05
Lionheart Tactics,iOS,79.0,70.8,action,2014-03-05
Project Spark,Xbox One,73.0,69.0,action,2014-03-04
The Walking Dead: Season Two Episode 2 - A House Divided,PC,81.0,70.8,action,2014-03-04
The Walking Dead: Season Two Episode 2 - A House Divided,PlayStation 3,82.0,70.8,action,2014-03-04
Hatsune Miku: Project Diva f,PlayStation Vita,81.0,70.8,action,2014-03-04
Tower of Guns,PC,76.0,71.0,action,2014-03-04
Dead Nation: Apocalypse Edition,PlayStation 4,74.0,71.0,action,2014-03-04
Frontline Commando 2,iOS,71.0,70.8,action,2014-03-04
Deadlings,iOS,70.0,70.8,action,2014-03-04
Disco Zoo,iOS,70.0,70.8,action,2014-02-27
Beyond Space,iOS,72.0,64.0,action,2014-02-27
Cubed Snowboarding,iOS,63.0,70.8,action,2014-02-27
The Voyage,iOS,75.0,70.8,action,2014-02-27
Demonrock: War of Ages,iOS,58.0,70.8,action,2014-02-27
God of Light,iOS,75.0,70.8,action,2014-02-27
Pac-Man Museum,Xbox 360,64.0,52.0,action,2014-02-26
Autumn Dynasty Warlords,iOS,80.0,70.8,action,2014-02-26
Basement Crawl,PlayStation 4,72.3,70.8,action,2014-02-25
Plants vs Zombies: Garden Warfare,Xbox One,76.0,70.8,action,2014-02-25
Plants vs Zombies: Garden Warfare,Xbox 360,69.0,74.0,action,2014-02-25
Pac-Man Museum,PlayStation 3,66.0,61.0,action,2014-02-25
Magus,PlayStation 3,72.3,70.8,action,2014-02-25
Royal Revolt 2,iOS,67.0,70.8,action,2014-02-25
Trolls vs Vikings,iOS,61.0,70.8,action,2014-02-24
Donkey Kong Country: Tropical Freeze,Wii U,83.0,70.8,action,2014-02-21
BeatBlasters III,PC,56.0,70.8,action,2014-02-21
Rambo: The Video Game,PC,72.3,70.8,action,2014-02-21
Rambo: The Video Game,Xbox 360,72.3,70.8,action,2014-02-21
Calculords,iOS,83.0,70.8,action,2014-02-21
Dead Rising 3: Chaos Rising,Xbox One,50.0,70.8,action,2014-02-21
Kung Fu Rabbit,3DS,65.0,63.0,action,2014-02-20
Coldfire Keep,iOS,73.0,70.8,action,2014-02-20
Another Case Solved,iOS,67.0,70.8,action,2014-02-20
Dual Survivor,iOS,68.0,70.8,action,2014-02-20
Bug Heroes 2,iOS,90.0,61.0,action,2014-02-19
Fright Fight - Multiplayer Brawler,iOS,68.0,70.8,action,2014-02-19
Zombocalypse Now,iOS,75.0,70.8,action,2014-02-19
Earth Defense Force 2025,Xbox 360,68.0,70.8,action,2014-02-18
Earth Defense Force 2025,PlayStation 3,69.0,74.0,action,2014-02-18
AeternoBlade,3DS,59.0,66.0,action,2014-02-18
Rayman Legends,PlayStation 4,90.0,70.8,action,2014-02-18
Rayman Legends,Xbox One,91.0,70.8,action,2014-02-18
Ikaruga,PC,84.0,70.8,action,2014-02-18
Gunslugs,PlayStation Vita,81.0,72.0,action,2014-02-18
Oquonie,iOS,73.0,70.8,action,2014-02-18
Second Chance Heroes,iOS,84.0,70.8,action,2014-02-17
Dungelot 2,iOS,76.0,70.8,action,2014-02-14
R-Type II,iOS,72.0,70.8,action,2014-02-13
Blowfish Meets Meteor,iOS,77.0,70.8,action,2014-02-13
Card Wars - Adventure Time,iOS,73.0,70.8,action,2014-02-13
Deadman's Cross,iOS,54.0,70.8,action,2014-02-13
World of Tanks: Xbox 360 Edition,Xbox 360,77.0,67.0,action,2014-02-12
Any Landing,iOS,68.0,70.8,action,2014-02-12
Word Puttz,iOS,76.0,70.8,action,2014-02-12
Toukiden: The Age of Demons,PlayStation Vita,71.0,70.8,action,2014-02-11
Far Cry Classic,Xbox 360,58.0,70.8,action,2014-02-11
Zombeer,PlayStation 3,72.3,51.0,action,2014-02-11
Borderlands 2: Headhunter Pack 4 - Mad Moxxi and the Wedding Day Massacre,Xbox 360,66.0,71.0,action,2014-02-11
Line Of Defense Tactics - Tactical Advantage,PC,72.3,70.8,action,2014-02-11
TxK,PlayStation Vita,84.0,74.0,action,2014-02-11
Dead Rising 3: Fallen Angel,Xbox One,56.0,70.8,action,2014-02-11
Only One,iOS,76.0,70.8,action,2014-02-07
Naughty Kitties,iOS,70.0,70.8,action,2014-02-06
Toast Time,iOS,81.0,70.8,action,2014-02-06
Kahuna,iOS,73.0,70.8,action,2014-02-06
Gigantic Army,PC,73.0,64.0,action,2014-02-05
King Oddball,PlayStation Vita,66.0,62.0,action,2014-02-04
Adam's Venture Chronicles,PlayStation 3,72.3,59.0,action,2014-02-04
Dustforce,PlayStation 3,70.0,68.0,action,2014-02-04
Dustforce,PlayStation Vita,73.0,69.0,action,2014-02-04
The Sun at Night,PC,59.0,73.0,action,2014-02-04
Surge Deluxe,PlayStation Vita,77.0,70.0,action,2014-02-04
Platforms Unlimited,iOS,83.0,70.8,action,2014-02-04
The Floor is Jelly,PC,83.0,66.0,action,2014-02-01
Halo: Spartan Assault,Xbox 360,51.0,56.0,action,2014-01-31
rymdkapsel,PC,77.0,70.8,action,2014-01-30
Rocket Robo,iOS,85.0,70.8,action,2014-01-30
Bloodstroke,iOS,67.0,70.8,action,2014-01-30
LEGO Star Wars: Microfighters,iOS,54.0,70.8,action,2014-01-30
Pyro Jump,iOS,74.0,70.8,action,2014-01-30
Rekoil: Liberator,Xbox 360,72.3,70.8,action,2014-01-29
Marvel Run Jump Smash!,iOS,54.0,70.8,action,2014-01-29
Rekoil,PC,72.3,70.8,action,2014-01-28
Strike Vector,PC,73.0,70.8,action,2014-01-28
Dragon Ball Z: Battle of Z,Xbox 360,53.0,55.0,action,2014-01-28
Dragon Ball Z: Battle of Z,PlayStation 3,54.0,55.0,action,2014-01-28
Dragon Ball Z: Battle of Z,PlayStation Vita,66.0,73.0,action,2014-01-28
Call of Duty: Ghosts - Onslaught,Xbox One,65.0,70.8,action,2014-01-28
Echo Prime,PC,50.0,70.8,action,2014-01-28
Dawn of the Plow,iOS,74.0,70.8,action,2014-01-28
Grandpa and the Zombies - Take care of your brain!,iOS,76.0,70.8,action,2014-01-23
Dead Rising 3: Operation Broken Eagle,Xbox One,52.0,70.8,action,2014-01-21
Atomic Fusion: Particle Collider,iOS,67.0,70.8,action,2014-01-21
KickBeat: Steam Edition,PC,66.0,70.8,action,2014-01-20
Shadow Blade,iOS,81.0,70.8,action,2014-01-16
Ferris Mueller's Day Off,iOS,59.0,70.8,action,2014-01-16
Bardbarian,iOS,83.0,68.0,action,2014-01-16
NBA Rush,iOS,59.0,70.8,action,2014-01-16
Unepic,Wii U,72.0,70.8,action,2014-01-16
Small Fry,iOS,73.0,70.8,action,2014-01-16
Kromaia,PC,68.0,70.8,action,2014-01-16
Mega Jump 2,iOS,70.0,70.8,action,2014-01-15
Nidhogg,PC,81.0,68.0,action,2014-01-13
Metal Gear Rising: Revengeance,PC,83.0,70.8,action,2014-01-09
Chibi-Robo! Photo Finder,3DS,72.3,70.8,action,2014-01-09
Battle Supremacy,iOS,72.0,70.8,action,2014-01-09
Joe Danger Infinity,iOS,80.0,63.0,action,2014-01-09
Castle Doombad,iOS,88.0,65.0,action,2014-01-09
Lost Toys,iOS,71.0,70.8,action,2014-01-09
simian.interface,iOS,66.0,70.8,action,2014-01-09
Duke Nukem: Manhattan Project,iOS,55.0,62.0,action,2014-01-09
Hot Wheels World's Best Driver,iOS,72.3,70.8,action,2014-01-09
Rail Racing,iOS,74.0,70.8,action,2014-01-09
Rhythm Thief & the Paris Caper,iOS,68.0,70.8,action,2014-01-09
Secrets of Raetikon,PC,58.0,71.0,action,2014-01-07
RoboCop,iOS,62.0,51.0,action,2014-01-07
continue?9876543210,PC,62.0,63.0,action,2014-01-03
Feed Me Oil 2,iOS,71.0,70.8,action,2014-01-02
Jet Car Stunts 2,iOS,80.0,70.8,action,2014-01-02
Detective Grimoire,iOS,83.0,70.0,action,2014-01-02
Cubit The Hardcore Platformer Robot,3DS,72.3,70.8,action,2013-12-26
ZEN Pinball 2,PlayStation 4,82.0,70.0,action,2013-12-24
Halo: Spartan Assault,Xbox One,53.0,70.8,action,2013-12-23
Ratchet & Clank: Before The Nexus,iOS,54.0,66.0,action,2013-12-20
Knytt Underground,Wii U,76.0,70.8,action,2013-12-19
Colossatron: Massive World Threat,iOS,75.0,70.8,action,2013-12-19
Cut the Rope 2,iOS,81.0,70.0,action,2013-12-19
Ridge Racer Slipstream,iOS,76.0,70.8,action,2013-12-19
Fightback,iOS,57.0,70.8,action,2013-12-18
The Walking Dead: Season Two Episode 1 - All That Remains,Xbox 360,80.0,70.8,action,2013-12-18
Eternity Warriors 3,iOS,82.0,70.8,action,2013-12-18
Toki Tori,PlayStation 3,75.0,70.0,action,2013-12-17
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PlayStation Vita,83.0,72.0,action,2013-12-17
The Pinball Arcade,PlayStation 4,82.0,67.0,action,2013-12-17
Terraria,PlayStation Vita,85.0,70.8,action,2013-12-17
Furmins,PlayStation Vita,69.0,70.8,action,2013-12-17
The Walking Dead: Season Two - A Telltale Games Series,PC,80.0,70.8,action,2013-12-17
The Walking Dead: Season Two Episode 1 - All That Remains,PC,78.0,70.8,action,2013-12-17
The Walking Dead: Season Two Episode 1 - All That Remains,PlayStation 3,82.0,70.8,action,2013-12-17
Walking Dead: The Game - Season 2,iOS,83.0,70.8,action,2013-12-17
Sound Ride,iOS,68.0,70.8,action,2013-12-17
Overlive - Zombie Apocalypse Survival - Interactive Adventure and Role Playing Game,iOS,66.0,70.8,action,2013-12-17
Fighting Fantasy: Island of the Lizard King,iOS,78.0,70.8,action,2013-12-16
Teslagrad,PC,77.0,70.8,action,2013-12-13
Stick it to the Man!,PC,79.0,73.0,action,2013-12-13
3D Galaxy Force II,3DS,77.0,70.8,action,2013-12-12
The Room Two,iOS,88.0,70.8,action,2013-12-12
Ski Safari: Adventure Time,iOS,73.0,70.8,action,2013-12-12
Fiz: The Brewery Management Game,iOS,78.0,70.8,action,2013-12-12
Not The Robots,PC,59.0,70.8,action,2013-12-12
LEGO Star Wars: The Complete Saga,iOS,78.0,70.8,action,2013-12-12
Tiny Brains,PC,63.0,51.0,action,2013-12-11
Endless Boss Fight,iOS,67.0,70.8,action,2013-12-11
Sensei Wars,iOS,68.0,70.8,action,2013-12-11
Samurai Gunn,PC,78.0,70.8,action,2013-12-10
Peggle 2,Xbox One,77.0,71.0,action,2013-12-09
Starborn Anarkist,iOS,79.0,62.0,action,2013-12-06
3D Sonic the Hedgehog,3DS,81.0,70.8,action,2013-12-05
SteamWorld Dig,PC,76.0,73.0,action,2013-12-05
Clash of Puppets,iOS,62.0,70.8,action,2013-12-05
KingHunt - The Next Generation Slicing Game,iOS,75.0,70.8,action,2013-12-05
Pretentious Game,iOS,77.0,70.8,action,2013-12-05
Band Stars,iOS,66.0,70.8,action,2013-12-04
LAWLESS,iOS,73.0,70.8,action,2013-12-04
Tank Domination HD,iOS,80.0,63.0,action,2013-12-04
Tiny Brains,PlayStation 4,64.0,67.0,action,2013-12-03
Escape Plan,PlayStation 4,73.0,67.0,action,2013-12-03
Blek,iOS,78.0,66.0,action,2013-12-03
Stick it to the Man!,PlayStation Vita,81.0,70.8,action,2013-12-03
Battlefield 4: Second Assault,PC,77.0,62.0,action,2013-12-03
continue?9876543210,iOS,71.0,72.0,action,2013-12-01
Painkiller: Hell & Damnation,Xbox 360,53.0,69.0,action,2013-11-30
3D Space Harrier,3DS,70.0,74.0,action,2013-11-28
Icycle: On Thin Ice,iOS,81.0,66.0,action,2013-11-27
Papa Pear Saga,iOS,68.0,70.8,action,2013-11-27
Darklings,iOS,88.0,69.0,action,2013-11-27
Gary Chalk's Gun Dogs,iOS,80.0,70.8,action,2013-11-27
Burn the Rope 3D,iOS,70.0,70.8,action,2013-11-27
Painkiller: Hell & Damnation,PlayStation 3,72.3,64.0,action,2013-11-26
Saint Seiya: Brave Soldiers,PlayStation 3,55.0,74.0,action,2013-11-26
Doctor Who: Legacy,iOS,69.0,70.8,action,2013-11-26
Tearaway,PlayStation Vita,87.0,70.8,action,2013-11-22
Killer Instinct,Xbox One,73.0,64.0,action,2013-11-22
Dead Rising 3,Xbox One,78.0,69.0,action,2013-11-22
Super Mario 3D World,Wii U,93.0,70.8,action,2013-11-22
Crimson Dragon,Xbox One,55.0,65.0,action,2013-11-22
Angry Birds Star Wars,Xbox One,53.0,69.0,action,2013-11-22
Space Chicks,iOS,78.0,70.8,action,2013-11-21
Lords of Waterdeep,iOS,90.0,72.0,action,2013-11-21
Drive on Moscow,iOS,90.0,70.0,action,2013-11-21
Flick Kick Football Legends,iOS,63.0,58.0,action,2013-11-21
Touchgrind Skate 2,iOS,80.0,70.8,action,2013-11-21
Steam Punks,iOS,56.0,70.8,action,2013-11-21
Disney Castle of Illusion starring Mickey Mouse,iOS,81.0,69.0,action,2013-11-21
Demon Tribe,iOS,73.0,70.8,action,2013-11-21
Clumsy Ninja,iOS,78.0,58.0,action,2013-11-21
Heroes of Dragon Age,iOS,59.0,70.8,action,2013-11-21
Star Trek Trexels,iOS,55.0,70.8,action,2013-11-21
SoulCalibur II HD Online,Xbox 360,76.0,70.8,action,2013-11-20
Tic Tactics,iOS,83.0,70.8,action,2013-11-20
Strike Force Heroes: Extraction,iOS,70.0,70.8,action,2013-11-20
Bandfuse: Rock Legends,Xbox 360,73.0,70.8,action,2013-11-19
Call of Duty: Ghosts,Xbox One,78.0,70.8,action,2013-11-19
Battlefield 4,Xbox One,81.0,67.0,action,2013-11-19
Stick it to the Man!,PlayStation 3,79.0,70.8,action,2013-11-19
Just Dance 2014,Xbox One,71.0,70.0,action,2013-11-19
SoulCalibur II HD Online,PlayStation 3,73.0,70.8,action,2013-11-19
AquaPazza: AquaPlus Dream Match,PlayStation 3,75.0,70.8,action,2013-11-19
The Amazing Spider-Man,PlayStation Vita,55.0,68.0,action,2013-11-19
Knack,PlayStation 4,54.0,64.0,action,2013-11-15
Killzone: Shadow Fall,PlayStation 4,73.0,68.0,action,2013-11-15
Deadfall Adventures,PC,53.0,69.0,action,2013-11-15
Deadfall Adventures,Xbox 360,72.3,70.8,action,2013-11-15
Blacklight: Retribution,PlayStation 4,58.0,61.0,action,2013-11-15
Contrast,PC,62.0,70.8,action,2013-11-15
Call of Duty: Ghosts,PlayStation 4,78.0,70.8,action,2013-11-15
Contrast,Xbox 360,65.0,70.8,action,2013-11-15
Skylanders Swap Force,PlayStation 4,79.0,53.0,action,2013-11-15
Contrast,PlayStation 4,59.0,64.0,action,2013-11-15
Resogun,PlayStation 4,84.0,70.8,action,2013-11-15
Super Motherload,PlayStation 4,65.0,66.0,action,2013-11-15
Sound Shapes,PlayStation 4,84.0,70.0,action,2013-11-15
Angry Birds Star Wars,PlayStation 4,72.3,70.8,action,2013-11-15
Trine 2: Complete Story,PlayStation 4,84.0,70.8,action,2013-11-15
Senran Kagura Burst,3DS,62.0,72.0,action,2013-11-14
Stealth Inc.,iOS,80.0,70.8,action,2013-11-14
Oceanhorn,iOS,85.0,70.8,action,2013-11-14
EPOCH.2,iOS,74.0,70.8,action,2013-11-14
Joe Dever's Lone Wolf,iOS,79.0,70.0,action,2013-11-14
Neon Shadow,iOS,80.0,70.8,action,2013-11-14
Stellar Wars,iOS,84.0,70.8,action,2013-11-14
The King of Fighters '97,iOS,71.0,70.8,action,2013-11-14
The Rivers of Alice,iOS,80.0,70.8,action,2013-11-14
Chivalry: Deadliest Warrior,PC,69.0,74.0,action,2013-11-14
Jett Rocket II: The Wrath of Taikai,3DS,62.0,66.0,action,2013-11-13
Tilt to Live 2: Redonkulous,iOS,83.0,70.8,action,2013-11-13
Don't Shoot Yourself!,iOS,76.0,70.8,action,2013-11-13
Battlefield 4,PlayStation 4,85.0,71.0,action,2013-11-12
Warframe,PlayStation 4,64.0,72.0,action,2013-11-12
Just Dance 2014,PlayStation 4,75.0,57.0,action,2013-11-12
Ratchet & Clank: Into the Nexus,PlayStation 3,76.0,70.8,action,2013-11-12
BioShock Infinite: Burial at Sea - Episode One,Xbox 360,68.0,70.8,action,2013-11-12
BioShock Infinite: Burial at Sea - Episode One,PlayStation 3,76.0,70.8,action,2013-11-12
BioShock Infinite: Burial at Sea - Episode One,PC,70.0,70.8,action,2013-11-12
Injustice: Gods Among Us - Ultimate Edition,PlayStation 4,80.0,72.0,action,2013-11-12
Injustice: Gods Among Us - Ultimate Edition,PC,79.0,70.8,action,2013-11-12
PixelJunk Shooter,PC,73.0,70.8,action,2013-11-11
Rain Blood Chronicles: Mirage,PC,68.0,71.0,action,2013-11-11
Chuck's Challenge 3D,PC,61.0,70.8,action,2013-11-08
Final Exam,Xbox 360,57.0,72.0,action,2013-11-08
Miner Problem,iOS,58.0,70.8,action,2013-11-08
Risk of Rain,PC,77.0,70.8,action,2013-11-08
Rayman Fiesta Run,iOS,86.0,73.0,action,2013-11-07
Sorcery! 2,iOS,88.0,68.0,action,2013-11-07
Pathogen,iOS,81.0,70.8,action,2013-11-07
Meltdown (2013),iOS,69.0,70.8,action,2013-11-07
A-Men 2,PlayStation 3,72.3,70.8,action,2013-11-06
Call of Duty: Ghosts,Xbox 360,73.0,70.8,action,2013-11-05
Call of Duty: Ghosts,PlayStation 3,71.0,70.8,action,2013-11-05
Final Exam,PC,66.0,70.0,action,2013-11-05
Final Exam,PlayStation 3,60.0,70.8,action,2013-11-05
Power Rangers Megaforce,3DS,72.3,70.8,action,2013-11-05
Ben 10 Omniverse 2,PlayStation 3,72.3,70.8,action,2013-11-05
